название,пол,бренд,страна,сегмент,концентрация,верхние ноты,ноты сердца,базовые ноты,запахи,семейства,стойкость минимум (ч),стойкость максимум (ч),шлейф,время года,возраст (до 18),возраст (до 26),возраст (до 35),возраст (до 45),возраст (после 45),мл,цена,характеристики аромата
Ange ou Demon,ж,Givenchy,Франция,люкс,парфюмерная вода,Мандарин;Шафран;Тимьян,Иланг-иланг;Орхидея;Лилия,Бобы;Дубовый мох;Палисандр;Ваниль,,Восточные;Цветочные,12,1000,очень заметный,зима,+,+,+,+,+,30,7549,Лилия;Жженый сахар;Ваниль;Специи;Сексуальный;Сладкий
Samsara Eau de Parfum,ж,Guerlain,Франция,люкс,парфюмерная вода,Бергамот;Иланг-иланг;Лимон;Цвет персика;Зеленый аккорд,Фиалка;Корень фиалки;Нарцисс;Роза;Жасмин,Бобы;Ирис;Мускус;Сандал;Ваниль,,Восточные;Древесные,12,1000,средний,зима;весна,,,,+,,30,5354,
New Your Amber,у,Bond No.9,США,нишевая парфюмерия,парфюмерная вода,,,,Бензоин;Бергамот;Мускатный орех;Мускус;Османтус;Черный перец;Роза;Сандал;Шафран;Уд;Жасмин,Восточные;Ванильные;Амбровые,5,12,заметный,зима;осень,,,,,+,100,17014,
Renata,ж,Faberlic,Россия,масс-маркет,парфюмерная вода,Бергамот;Красное яблоко;Личи;Мандарин,Черная смородина;Гардения;Орхидея;Роза,Амбра;Кашмеран;Мускус;Пачули;Ваниль,,Восточные;Ванильные;Фруктовые,5,12,средний,осень,,,+,+,+,60,2500,
Lanvin Eclat D Arpege,ж,Lanvin,Франция,люкс,парфюмерная вода,Пион;Цвет персика;Чай,Амбра;Мускус;Сирень,Злаки;Кедр;Османтус,,Цветочные;Фруктовые,12,1000,средний,весна;лето,,+,+,+,,50,3090,Чистый;Повседневный
MOSCHINO Toy Boy,м,Moscino,Италия,люкс,парфюмерная вода,Бергамот;Элеми;Груша;Гвоздика;Мускатный орех;Розовый перец,Кашмеран;Лен;Магнолия;Роза,Ветивер;Силколид,,Древесные;Пряные,2,5,средний,весна;осень,+,+,+,+,+,50,4690,Свежий;Повседневный
Cartier Declaration D Un Soir,м,Cartier,Франция,люкс,туалетная вода,Полынь;Береза;Бергамот;Апельсин;Кориандр;Мандарин;Нероли;Тмин,Имбирь;Ирис;Кардамон;Корица;Можжевельник;Черный перец,Амбра;Чай;Дубовый мох;Кедр;Кожаный аккорд;Ветивер,,Древесные;Пряные,2,5,средний,лето,+,+,+,,,30,10190,Свежий;Повседневный
Channel №5,ж,Channel,Франция,люкс,духи,Альдегиды;Бергамот;Иланг-иланг;Лимон;Нероли,Ирис;Ландыш;Роза;Жасмин,Амбра;Дубовый мох;Мускус;Пачули;Ваниль;Ветивер;Цибетин,,Цветочные;Цветочные,12,1000,средний,зима;осень,,,,+,,7.5,13390,Праздничный;Чистый
Prada Day For Night,у,Prada,Италия,люкс,парфюмерная вода,,,,Амбра;Кожаный аккорд,Восточные;Ванильные;Амбровые,8,1000,средний,осень;зима,,,,,,100,29190,
Escentric Molecules Escentric 02,у,Escentric Molecules,Германия,нишевая парфюмерия,духи,,,,Амброксан;Ирис;Жасмин,Восточные;Цветочные,5,12,средний,лето,+,+,+,+,+,30,4690,Бумага;Лимон;Чистый;Повседневный
The Only One,ж,Dolce&Gabbana,Италия,люкс,парфюмерная вода,Апельсин;Бергамот;Фиалка,Груша;Ирис;Кофе;Роза,Карамель;Пачули;Ваниль,,Восточные;Цветочные,2,5,средний,осень;зима,,,+,,,7.5,1990,Сексуальный;Сладкий
Flora by Gucci Gorgeous Gardenia,ж,Gucci,Италия,люкс,туалетная вода,Груша;Розовый перец,Франжипани;Гардения,Коричневый сахар;Пачули,,Цветочные;Фруктовые,12,1000,средний,весна;лето,+,+,+,+,+,50,25590,Сладкий;Повседневный
La Petite Robe Noire Ma Robe Cocktail,ж,Guerlain,Франция,люкс,туалетная вода,Роза;Зеленый аккорд;Жасмин,Апельсин;Яблоко;Миндаль;Вишня,Мускус;Амбра,,Цветочные;Фруктовые,5,12,заметный,,+,+,+,+,+,50,6624,Нежный;Женственный;Стойкий
La Petite Robe Noire Ma Robe Sous le Vent,ж,Guerlain,Франция,люкс,парфюмерная вода,Бергамот;Черная смородина;Черника;Малина;Сладкая вата,Апельсиновый цвет;Роза;Жасмин,Бобы;Мускус;Пачули;Сандал;Ваниль,,Цветочные;Фруктовые,5,12,средний,зима,,+,+,+,+,30,6487,
